가카, 96, 150
사마, 69, 186
다나, 73, 175
차라, 58, 178
아아, 68, 141
차자, 46, 158
가자, 52, 184
라하, 79, 145
사카, 92, 197
가마, 61, 148
가라, 70, 141
카다, 56, 157
나사, 91, 178
차차, 75, 176
바파, 63, 175
아자, 41, 181
라하, 83, 198
카카, 80, 186
다카, 49, 191
라차, 61, 196
사자, 65, 193
다사, 74, 171
바하, 69, 176
타타, 85, 154
카하, 75, 161
라자, 47, 150
차사, 75, 199
하가, 56, 141
타타, 80, 178
사아, 93, 156
다다, 98, 183
카바, 64, 170
자하, 48, 142
아라, 52, 169
나타, 66, 171
사가, 79, 145
나아, 94, 177
차라, 57, 194
라가, 73, 182
바카, 57, 196
라차, 43, 165
카차, 60, 186
나나, 56, 147
타자, 43, 150
라바, 79, 170
하라, 79, 176
라자, 44, 178
바바, 49, 177
차마, 71, 199
사다, 73, 153
카아, 42, 184
가마, 72, 147
자마, 58, 161
사가, 84, 178
라나, 79, 160
마하, 72, 155
아파, 89, 165
가차, 57, 179
차사, 53, 189
타마, 64, 162
타가, 88, 196
아라, 74, 183
나가, 62, 189
나다, 55, 196
자아, 64, 197
차타, 83, 158
카가, 44, 170
바라, 85, 163
가파, 63, 158
바마, 78, 161
바카, 67, 143
하가, 49, 164
파사, 55, 148
마차, 41, 178
다파, 86, 150
나자, 76, 198
아카, 72, 158
사타, 55, 152
파사, 73, 183
가하, 61, 166
사자, 70, 152
차카, 76, 166
파아, 56, 177
가자, 51, 190
타하, 87, 164
나타, 98, 193
카라, 83, 189
자마, 46, 144
카카, 85, 178
자가, 96, 197
파마, 74, 198
라아, 77, 193
아파, 42, 164
마차, 97, 160
가자, 89, 183
타나, 93, 159
카가, 71, 183
타타, 66, 167
사사, 92, 190
라라, 87, 148
다아, 78, 155
마파, 51, 176
사타, 48, 173
마차, 69, 150
나자, 67, 172
자라, 77, 196
다자, 64, 164
사카, 78, 140
파사, 70, 173
카라, 78, 189
차타, 70, 188
바나, 67, 194
마타, 53, 197
바파, 89, 160
차차, 86, 146
바아, 70, 163
다자, 60, 146
타사, 61, 180
차차, 62, 168
나자, 95, 152
라나, 51, 149
다가, 94, 169
가가, 77, 169
다타, 90, 165
하다, 93, 148
타하, 90, 198
마다, 55, 180
바바, 65, 151
차파, 41, 183
라파, 79, 141
하바, 72, 191
자파, 96, 166
사다, 96, 154
바자, 56, 194
사자, 72, 182
타나, 55, 175
사파, 58, 160
라파, 74, 168
타나, 58, 183
다카, 67, 160
바차, 76, 185
하차, 70, 154
아라, 40, 176
아파, 85, 170
하라, 88, 184
자라, 53, 182
카자, 83, 140
라타, 41, 187
바가, 97, 166
자라, 67, 140
마파, 53, 160
파바, 68, 145
타마, 57, 171
가다, 99, 180
마타, 97, 146
바자, 70, 177
바타, 80, 171
마하, 80, 198
라바, 99, 145
하차, 98, 169
타카, 53, 172
바아, 69, 158
차사, 58, 161
사사, 57, 158
사가, 99, 187
아바, 72, 143
마다, 83, 179
하라, 47, 165
라다, 55, 188
마나, 78, 168
마하, 81, 147
카차, 98, 184
라카, 73, 161
카다, 56, 191
라가, 76, 180
차차, 50, 171
라바, 97, 142
파카, 67, 151
마라, 56, 157
마다, 90, 140
다아, 83, 169
나가, 85, 144
아자, 48, 162
가바, 71, 195
다사, 58, 165
타아, 51, 152
카바, 80, 172
다카, 65, 176
다하, 52, 177
타타, 61, 162
차카, 55, 140
차카, 54, 193
다하, 51, 156
자다, 50, 160
아사, 73, 194
라하, 97, 170
카마, 82, 164
카아, 91, 162
아나, 57, 188
가카, 73, 173
아아, 97, 149
아마, 74, 187
사마, 90, 152
하타, 64, 192
라타, 43, 176
나나, 85, 151
카마, 76, 162
다가, 50, 197
라차, 70, 141
파카, 80, 154
타파, 84, 145
자나, 80, 141
마차, 87, 184
나라, 99, 169
라파, 45, 154
카라, 79, 169
자파, 68, 149
파마, 49, 198
차다, 63, 169
파라, 52, 189
자아, 43, 190
타파, 64, 172
마다, 83, 145
가카, 71, 174
바라, 43, 196
아라, 87, 153
차바, 57, 180
라라, 82, 193
파다, 90, 146
타자, 61, 193
사나, 66, 163
카바, 85, 168
카라, 53, 185
카카, 64, 151
카라, 82, 171
자라, 41, 194
마타, 92, 169
나하, 62, 151
다하, 74, 175
가하, 44, 165
차라, 54, 181
파자, 46, 169
타나, 71, 151
하나, 50, 158
사바, 86, 181
바타, 81, 155
아가, 96, 193
자마, 49, 199
마아, 45, 147
카바, 93, 148
하차, 51, 153
카다, 73, 159
아카, 59, 154
자파, 69, 156
마파, 47, 187
자파, 68, 186
카카, 78, 184
카아, 56, 162
타차, 54, 172
바하, 74, 171
라가, 57, 189
카바, 79, 151
차차, 64, 164
마자, 54, 144
라다, 87, 166
라바, 79, 169
타하, 59, 146
타아, 99, 173
사아, 83, 141
다마, 98, 191
차아, 46, 199
나바, 47, 196
파타, 97, 177
마마, 85, 152
바가, 57, 192
사가, 87, 192
카사, 72, 166
나차, 97, 177
파바, 70, 172
라가, 54, 176
다아, 43, 166
사라, 84, 143
차다, 89, 175
나하, 71, 152
하자, 79, 187
파사, 75, 161
파마, 84, 140
하바, 62, 142
다사, 80, 195
나자, 97, 181
다하, 92, 185
차아, 50, 152
아나, 56, 187
카바, 48, 169
